08:38 08.01.2023

1.0.0.0: calib
0;256;512;768;1024;1280;1536;1792;2048;2304;2560;2816;3072;3328;3584;3840;4095;
2982;3064;3130;3183;3229;3243;3245;3241;3246;3240;3247;3249;3247;3248;3238;3247;3245;
19772;19158;18128;17103;15923;14976;13985;12984;11966;10950;9962;8953;7957;6950;5937;4935;4195;
4065;3936;3719;3514;3293;3080;2873;2665;2460;2256;2047;1847;1637;1430;1221;1017;866;
4077;4030;3809;3600;3373;3157;2945;2733;2523;2315;2095;1884;1671;1461;1247;1039;885;
4078;4034;3812;3603;3377;3160;2947;2735;2526;2318;2104;1886;1672;1462;1248;1040;886;
4073;3950;3733;3528;3306;3094;2886;2679;2473;2269;2060;1847;1637;1432;1222;1018;868;



1.0.0.0: calib
0;256;512;768;1024;1280;1536;1792;2048;2304;2560;2816;3072;3328;3584;3840;4095;
2276;2890;2999;3096;3186;3210;3215;3210;3217;3224;3215;3220;3213;3221;3213;3220;3227;
19199;19118;18108;17089;15923;14937;13971;12969;11960;10947;9956;8955;7953;6952;5932;4934;4201;
3949;3931;3721;3514;3298;3077;2873;2667;2461;2258;2048;1843;1637;1433;1227;1019;867;
4017;4025;3811;3600;3380;3154;2944;2735;2525;2317;2100;1882;1671;1464;1253;1041;886;
4018;4028;3815;3603;3383;3157;2947;2737;2527;2319;2105;1884;1672;1465;1254;1042;887;
3962;3944;3735;3528;3312;3091;2886;2681;2475;2271;2061;1845;1638;1435;1228;1020;869;
